id,label,raw_logit,prob
TRAIN_0001,1,3.62109375,0.97321278
TRAIN_0002,1,3.22265625,0.961040795
TRAIN_0003,1,3.75097655,0.97698085
TRAIN_0004,1,3.3261719,0.9637870500000001
TRAIN_0005,0,-3.69628905,0.02445287
TRAIN_0006,1,2.86621095,0.943282605
TRAIN_0007,1,3.33984375,0.965685845
TRAIN_0008,1,3.4970703,0.9705397
TRAIN_0009,1,3.6191406,0.97382055
TRAIN_0010,0,-4.3027344,0.0133514635
TRAIN_0011,1,3.68652345,0.97545185
TRAIN_0012,0,-3.6826172,0.026336554999999998
TRAIN_0013,1,3.75097655,0.9765447650000001
TRAIN_0014,1,3.6074218499999997,0.97286628
TRAIN_0015,1,3.81933595,0.9782479
TRAIN_0016,1,3.5761718499999997,0.9727618499999999
TRAIN_0017,0,-3.1386719000000003,0.042666038
TRAIN_0018,1,3.88183595,0.979734765
TRAIN_0019,1,3.2412109,0.96233645
TRAIN_0020,0,-3.9042969000000003,0.020981333499999998
TRAIN_0021,1,3.68847655,0.9755258
TRAIN_0022,0,-3.7861328,0.0226128445
TRAIN_0023,0,-3.9873047,0.0192671945
TRAIN_0024,0,-3.6230469,0.026053696
TRAIN_0025,0,-3.5146484,0.0289583435
TRAIN_0026,0,-3.9580078,0.01950194025
TRAIN_0027,0,-3.9052734,0.019787881
TRAIN_0028,1,3.66503905,0.97498035
TRAIN_0029,1,3.58203125,0.97272033
TRAIN_0030,1,4.0029296500000004,0.9820631200000001
TRAIN_0031,0,-4.15039065,0.015540921000000001
TRAIN_0032,0,-3.58203125,0.027363077
TRAIN_0033,1,3.62109375,0.9728066
TRAIN_0034,1,3.78222655,0.977166655
TRAIN_0035,0,-3.7734375,0.022732994
TRAIN_0036,0,-3.79785155,0.022450705
TRAIN_0037,1,3.57421875,0.97262165
TRAIN_0038,1,3.75,0.97692445
TRAIN_0039,1,3.25390625,0.9625778
TRAIN_0040,0,-3.7978515999999996,0.022714111000000002
TRAIN_0041,0,-3.77441405,0.022970305
TRAIN_0042,0,-3.9892578,0.018250984499999998
TRAIN_0043,0,-3.88867185,0.020264538
TRAIN_0044,1,3.69140625,0.9754336800000001
TRAIN_0045,0,-3.67578125,0.0250824355
TRAIN_0046,0,-3.6650391,0.0252946
TRAIN_0047,1,3.5527344,0.969038185
TRAIN_0048,0,-3.92871095,0.0199012605
TRAIN_0049,0,-3.5830078,0.027238125000000002
